#n        #time_in_micro        

1000        505
1100        560
1210        628
1331        703
1464        783
1610        878
1771        972
1948        1085
2142        1206
2356        1339
2591        1489
2850        1668
3135        1852
3448        2075
3792        2294
4171        2536
4588        2832
5046        3152
5550        3530
6105        3920
6715        4371
7386        4879
8124        5439
8936        6040
9829        6736
10811        7511
11892        8354
13081        9285
14389        10337
15827        11522
17409        12856
19149        14303
21063        15913
23169        17765
25485        19664
28033        21852
30836        24281
33919        26966
37310        29922
41041        33255
45145        37010
49659        41154
54624        45909
60086        51212
66094        58886
72703        66866
79973        76479
87970        89159
96767        101685
106443        117924
117087        134380
128795        154057
141674        176281
155841        214915
171425        246606
188567        284679
207423        337643
228165        415941
250981        487465
276079        565826
303686        679019
334054        720034
367459        790423
404204        867434
444624        971957
489086        1054316
537994        1166028
591793        1263996
650972        1422091
716069        1652706
787675        1904364
866442        2082177
953086        2430905
