#n        #time_in_micro        

1000        174
1100        170
1210        180
1331        186
1464        186
1610        195
1771        192
1948        196
2142        329
2356        233
2591        184
2850        193
3135        201
3448        214
3792        225
4171        237
4588        250
5046        260
5550        275
6105        284
6715        303
7386        315
8124        367
8936        407
9829        443
10811        488
11892        543
13081        601
14389        654
15827        696
17409        759
19149        834
21063        910
23169        1008
25485        1105
28033        1237
30836        1354
33919        1581
37310        1645
41041        1805
45145        2040
49659        2371
54624        2776
60086        6277
66094        8129
72703        10262
79973        5243
87970        6848
96767        7960
106443        8775
117087        10260
128795        11521
141674        13486
155841        15615
171425        16490
188567        18141
207423        20385
228165        23508
250981        25364
276079        28453
303686        31578
334054        36180
367459        38987
404204        43609
444624        48736
489086        53731
537994        58409
591793        67728
650972        76944
716069        84318
787675        94046
866442        106295
953086        114514
