#n        #time_in_micro        

1000        76
1100        67
1210        73
1331        74
1464        68
1610        70
1771        77
1948        78
2142        81
2356        84
2591        87
2850        91
3135        95
3448        100
3792        104
4171        105
4588        116
5046        127
5550        141
6105        154
6715        170
7386        187
8124        206
8936        225
9829        248
10811        273
11892        299
13081        330
14389        366
15827        398
17409        442
19149        486
21063        539
23169        603
25485        662
28033        853
30836        993
33919        1147
37310        1230
41041        1459
45145        1977
49659        2340
54624        2796
60086        2887
66094        3643
72703        3801
79973        4421
87970        4869
96767        5471
106443        6208
117087        6819
128795        7640
141674        8432
155841        9822
171425        10850
188567        12004
207423        13580
228165        14961
250981        16928
276079        18665
303686        20182
334054        22744
367459        24964
404204        26846
444624        29278
489086        32317
537994        37391
591793        40147
650972        44334
716069        47825
787675        52774
866442        58186
953086        62238
